,available_translations,first_aired,ids.imdb,ids.tmdb,ids.trakt,ids.tvdb,ids.tvrage,number,number_abs,overview,rating,season,title,updated_at,votes
0,[],2016-04-21 01:00:00,,1188785,2215935,5591415,0,15,,"Ahead of Season 6 of the epic saga, this special will bring viewers up to speed on the gripping storylines and compelling characters from the first five seasons. Writers and stars of the show give viewers an insight into key events of each season and explain the intrigues and power struggles at work in the lands of Westeros and beyond.",8.54098,0,The Story So Far,2016-06-01T21:23:11.000Z,61
0,[],,,0,2247121,5627967,,16,,,0.0,0,The Game Revelead: Episode 1 & 2,2016-05-30T03:33:26.000Z,0
0,[],,,0,2247122,5627969,,17,,,0.0,0,The Game Revelead: Episode 3 & 4,2016-05-30T03:33:26.000Z,0
0,[],2011-04-18 01:00:00,tt1480055,63056,73640,3254641,1065008299,1,,"Ned Stark, Lord of Winterfell learns that his mentor, Jon Arryn, has died and that King Robert is on his way north to offer Ned Arryn’s position as the King’s Hand. Across the Narrow Sea in Pentos, Viserys Targaryen plans to wed his sister Daenerys to the nomadic Dothraki warrior leader, Khal Drogo to forge an alliance to take the throne.",8.41165,1,Winter Is Coming,2016-06-04T13:37:02.000Z,4946
0,[],2011-04-25 01:00:00,tt1668746,63057,73641,3436411,1065023912,2,,"Having agreed to become the King’s Hand, Ned leaves Winterfell with daughters Sansa and Arya, while Catelyn stays behind in Winterfell. Jon Snow heads north to join the brotherhood of the Night’s Watch. Tyrion decides to forego the trip south with his family, instead joining Jon in the entourage heading to the Wall. Viserys bides his time in hopes of winning back the throne, while Daenerys focuses her attention on learning how to please her new husband, Drogo.",8.38538,1,The Kingsroad,2016-06-04T13:12:43.000Z,3817
0,[],2011-05-02 01:00:00,tt1829962,63058,73642,3436421,1065027990,3,,"Arriving at King’s Landing, Ned is shocked to learn of the Crown’s profligacy from his new advisors. At Castle Black, Jon Snow impresses Tyrion at the expense of greener recruits. Suspecting the Lannisters had a hand in Bran’s fall, Catelyn covertly follows her husband to King’s Landing, where she is intercepted by Petyr Baelish, a.k.a. “Littlefinger,” a shrewd longtime ally and brothel owner. Cersei and Jaime ponder the implications of Bran’s recovery; Arya studies swordsmanship. On the road to Vaes Dothrak, Daenerys finds herself at odds with Viserys.",8.33372,1,Lord Snow,2016-06-04T11:29:48.000Z,3485
0,[],2011-05-09 01:00:00,tt1829963,63059,73643,3436431,1065029350,4,,"Ned looks for clues to the death of his predecessor, and uncovers one of King Robert’s bastards. Robert and his guests witness a tournament honoring Ned. Jon takes measures to protect Sam from further abuse at Castle Black; a frustrated Viserys clashes with Daenerys in Vaes Dothrak; Sansa imagines her future as a queen, while Arya envisions a far different future. Catelyn rallies her husband’s allies to make a point, while Tyrion finds himself caught in the wrong place at the wrong time.",8.37899,1,"Cripples, Bastards, and Broken Things",2016-06-04T06:05:18.000Z,3380
0,[],2011-05-16 01:00:00,tt1829964,63060,73644,3436441,1065036402,5,,"Incensed over news of Daenerys’ alliance with the Dothrakis, Robert orders a preemptive strike on the Targaryens that drives a wedge in his relationship with Ned. A captive Tyrion helps Catelyn, but receives a cold reception at the Eyrie from her sister, Jon Arryn’s widow Lysa. Sansa is charmed by the dashing Ser Loras Tyrell, a.k.a. the Knight of Flowers. Arya overhears a plot against her father.",8.42919,1,The Wolf and the Lion,2016-06-04T08:24:52.000Z,3241
0,[],2011-05-23 01:00:00,tt1837862,63061,73645,3436451,1065036403,6,,"Reinstated as the Hand, Ned sits for the King while Robert is on a hunt. Ned issues a decree that could have long-term consequences throughout the Seven Kingdoms. At the Eyrie, Tyrion confesses to his ""crimes,"" and demands that Lysa give him a trial by combat. Joffrey apologizes to Sansa. Viserys receives his final payment for Daenerys from Drogo.",8.64116,1,A Golden Crown,2016-06-04T12:22:40.000Z,3280
0,[],2011-05-30 01:00:00,tt1837863,63062,73646,3436461,1065036404,7,,"Explaining that the future of the Lannisters is at stake, Tywin presses Jaime to “be the man you were meant to be” as they prepare for battle. Ned confronts Cersei about the secrets that killed Jon Arryn. With the fate of the missing Benjen very much on his mind, Jon takes his Night’s Watch vows, though not with the assignment he coveted. After Ser Jorah saves Daenerys from treachery, an enraged Drogo vows to lead the Dothraki where they’ve never gone before. An injured Robert takes pains to ensure an orderly transition at King’s Landing.",8.61684,1,You Win or You Die,2016-06-04T13:26:39.000Z,3231
0,[],2011-06-06 01:00:00,tt1837864,63063,73647,3360391,1065039305,8,,"In the aftermath of Ned's capture, Syrio and Arya face off against Lannister guards, while Cersei manipulates Sansa to her own ends. Robb rallies his father's northern allies against Tywin Lannister and heads south to war. Tyrion forms an uneasy alliance with the hill tribes and reunites with his father. Jon lashes out at Ser Alliser Thorne and battles a mysterious attacker from beyond the Wall. Dany is forced to reconcile her desire to conquer Westeros with Drogo's savagery after the Dothraki raid a peaceful village.",8.45583,1,The Pointy End,2016-06-04T13:05:38.000Z,3124
0,[],2011-06-13 01:00:00,tt1851398,63064,73648,4063481,1065039306,9,,"With Sansa's life in danger, Ned makes a fateful decision. Catelyn brokers an unsavory deal with the slippery Walder Frey. Tyrion acquires a mistress and is forced by his father to fight on the front lines. Robb wins his first major victory and captures a prized prisoner. Jon is rewarded for his valor and discovers a dark secret about Maester Aemon. As Drogo's wound festers, Dany defies her bloodrider Qotho and puts her trust in the enslaved witch Mirri Maz Duur.",8.70103,1,Baelor,2016-06-04T12:14:00.000Z,3201
0,[],2011-06-20 01:00:00,tt1851397,63065,73649,4063491,1065039307,10,,"As tragic news spreads across the Seven Kingdoms, Bran and Rickon share a prophetic dream, Catelyn interrogates Jamie about her son's fall, and Robb's destiny is forever changed. After a surprising decision by his father, Tyrion heads south. Arya assumes a new identity in an attempt to escape King's Landing, and Sansa is terrorized by Joffrey. At the Wall, Jon is forced to choose between the Night's Watch and the family he left behind. Across the sea, Dany pays a terrible price for her love, but finds new hope.",8.91571,1,Fire and Blood,2016-06-04T08:50:12.000Z,3310
0,[],2012-04-02 01:00:00,tt1971833,63066,73650,4161693,0,1,,"As Robb Stark and his northern army continue the war against the Lannisters, Tyrion arrives in King’s Landing to counsel Joffrey and temper the young king’s excesses.  On the island of Dragonstone, Stannis Baratheon plots an invasion to claim his late brother’s throne, allying himself with the fiery Melisandre, a strange priestess of a stranger god.  Across the sea, Daenerys, her three young dragons, and the khalasar trek through the Red Waste in search of allies, or water.  In the North, Bran presides over a threadbare Winterfell, while beyond the Wall, Jon Snow and the Night’s Watch must shelter with a devious wildling.",8.50559,2,The North Remembers,2016-06-04T12:13:08.000Z,3487
0,[],2012-04-09 01:00:00,tt2069318,974430,73651,4245771,0,2,,"In the wake of a bloody purge in the capital, Tyrion chastens Cersei for alienating the king’s subjects.  On the road north, Arya shares a secret with Gendry, a Night’s Watch recruit.  With supplies dwindling, one of Dany’s scouts returns with news of their position.  After nine years as a Stark ward, Theon Greyjoy reunites with his father Balon, who wants to restore the ancient Kingdom of the Iron Islands.  Davos enlists Salladhor Saan, a pirate, to join forces with Stannis and Melisandre for a naval invasion of King’s Landing.",8.40845,2,The Night Lands,2016-06-04T12:14:43.000Z,3195
0,[],2012-04-16 01:00:00,tt2070135,63068,73652,4245772,0,3,,"At the Red Keep, Tyrion plots three alliances through the promise of marriage.  Catelyn arrives in the Stormlands to forge an alliance of her own, but King Renly, his new wife Margaery, and her brother Loras Tyrell have other plans.  At Winterfell, Luwin tries to decipher Bran’s dreams.",8.43484,2,What is Dead May Never Die,2016-06-04T13:10:09.000Z,3146
